title,title_english,description,release_date,duration,language,director,cast,poster_url,trailer_video_url,background_url,age_rating,category
Shin Cậu Bé Bút Chì: Bí Ẩn! Học Viện Hoa Lệ Tenkasu (Lồng Tiếng),Crayon Shinchan the Movie: School Mystery! The Splendid Tenkasu Academy,"Câu chuyện của bộ phim bắt đầu với Shinnosuke và những người bạn của Shin thuộc Đội đặc nhiệm Kasukabe trải qua một tuần ở lại ""Học viện Tư nhân Tenkasu Kasukabe"" (Còn gọi là ""Học viện Tenkasu""), một trường nội trú ưu tú được quản lý bởi một AI hiện đại, ""Otsmun"". Tất cả các học sinh ban đầu được trao một huy hiệu với 1000 điểm và điểm của các em sẽ được Otsmun tăng hoặc giảm dựa trên hành vi và kết quả học tập của các em. Trong đó ai đó tấn công Kazama. Kết quả là trí thông minh của anh ta bị suy giảm và những vết cắn kỳ lạ để lại trên mông anh ta. Đội đặc nhiệm Kasukabe hợp lực với chủ tịch hội học sinh bỏ học của trường, Chishio Atsuki, một cựu vận động viên, để thành lập một nhóm thám tử và giải quyết bí ẩn",2025-05-02,106,Lồng Tiếng Việt,Wataru Takahashi,"Yumiko Kobayashi, Miki Narahashi, Toshiyuki Morikawa,...",https://touchcinema.com/medias/hinhphim2025/shin-pink-poster-social-poster.jpg,https://www.youtube.com/watch?v=u8lbxkM6RXk,https://touchcinema.com/storage/slider-app/hq720-1745397427.jpg,AGE_UNRATED,"Hoạt Hình, Thần Thoại"
Địa Đạo: Mặt Trời Trong Bóng Tối (Phiên Bản Đặc Biệt),,"Phim điện ảnh đề tài kháng chiến “Địa Đạo: Mặt Trời Trong Bóng Tối” của đạo diễn Bùi Thạc Chuyên dự kiến ra rạp từ 04/04/2025, hướng đến kỷ niệm 50 năm thống nhất đất nước. Phim lấy cảm hứng từ trận càn Cedar Falls năm 1967 đã đốt trụi nhiều mảng rừng ở Củ Chi. Ở địa đạo này, cấp trên đã giao nhiệm vụ cho đội của Bảy Theo bảo vệ thùng thuốc và bệnh viện dã chiến. Để vận chuyển được trang thiết bị quân y đến địa đạo, các chiến sĩ đã phải đổ không biết bao nhiêu xương máu. Vì vậy, đội của anh lại càng quyết tâm bảo vệ giữ vững trận địa đến cùng.",2025-04-04,128,Tiếng Việt - Phụ đề Tiếng Anh,Bùi Thạc Chuyên,"Thái Hòa, Quang Tuấn, Diễm Hằng Lamoon, Anh Tú Wilson, Hồ Thu Anh, Uyển Ân,...",https://touchcinema.com/uploads/slide-web/470x700-24-poster.jpg,https://www.youtube.com/watch?v=-OGDDtsIBHA,https://touchcinema.com/storage/slider-app/dia-dao-1-1742874075591.jpg,AGE_18_PLUS,Lịch Sử
Biệt Đội Sấm Sét*,THUNDERBOLTS*,"Ai trong team này cũng từng làm việc ác, giờ là lúc làm việc ác cùng nhau. Các thành phần bất hảo trong vũ trụ điện ảnh Marvel giờ đây đã được triệu tập trở thành một nhóm gọi là “Biệt Đội Sấm Sét”, để làm những nhiệm vụ nguy hiểm bậc nhất mà có thể sẽ thay đổi con người, cuộc đời họ mãi mãi.",2025-05-01,126,Tiếng Anh - Phụ đề Tiếng Việt,Jake Schreier,"Florence Pugh, Sebastian Stan, David Harbour, Wyatt Russell, Olga Kurylenko, Lewis Pullman, Geraldine Viswanathan, Chris Bauer, Wendell Edward Pierce, with David Harbour, with Hannah John-Kamen, Julia Louis-Dreyfus,...",https://touchcinema.com/uploads/slider-app/copy-of-rap-470x700-poster.jpg,https://www.youtube.com/watch?v=wZjKEMrl4oM,https://touchcinema.com/storage/slider-app/copy-of-rap-1920x1080-4.jpg,AGE_13_PLUS,"Hành Động, Phiêu Lưu"
Thám Tử Kiên: Kỳ Án Không Đầu,,"Thám Tử Kiên là một nhân vật được yêu thích trong tác phẩm điện của ăn khách Người Vợ Cuối Cùng của Victor Vũ, Thám Tử Kiên: Kỳ Không Đầu sẽ là một phim Victor Vũ trở về với thể loại sở trường Kinh Dị - Trinh Thám sau những tác phẩm tình cảm lãng mạn trước đó.

Với slogan đầy ám ảnh: “Kẻ chết không siêu thoát, người sống không lối thoát”, Thám Tử Kiên: Kỳ Án Không Đầu ẩn chứa muôn vàn bí ẩn. Một chuỗi án mạng kinh hoàng tại một ngôi làng hẻo lánh – nơi liên tiếp xảy ra tám vụ giết người với cùng một đặc điểm rợn người: tất cả nạn nhân đều không còn đầu.

Thám Tử Kiên phải đối mặt với vụ án khủng khiếp gây hoang mang tột độ cho dân làng. Ai sẽ là nạn nhân tiếp theo trong chuỗi án mạng rùng rợn? Kiên có tìm ra mấu chốt để lần theo dấu vết hung thủ? Thuộc thể loại tâm linh - ly kỳ - phá án, Thám Tử Kiên: Kỳ Án Không Đầu được đạo diễn Victor Vũ kì công nhào nặn, ghi hình tại Tuyên Quang và Cao Bằng cực kì kĩ lưỡng.

Dàn diễn viên chính trong phim bao gồm: Quốc Huy vai Thám tử Kiên, Đinh Ngọc Diệp vai Hai Mẫn, Quốc Anh vai Thạc, Anh Phạm vai Tuyết và Minh Anh vai Nga, NSƯT Xuân Trang trong vai Quan Liêm, NSND Mỹ Uyên trong vai Bà Vượng (vợ quan Liêm).",2025-04-28,131, Tiếng Việt - Phụ đề Tiếng Anh, Victor Vũ," Quốc Huy, Đinh Ngọc Diệp, Quốc Anh, Minh Anh, Anh Phạm,...",https://touchcinema.com/uploads/slider-app/470x700-29-poster.jpg,https://www.youtube.com/watch?v=QiXNbEKF3U0,https://touchcinema.com/storage/slider-app/tham-tu-kien-3-1744984172402.jpg,AGE_16_PLUS,Kinh Dị
Lật Mặt 8: Vòng Tay Nắng,FACE OFF 8: EMBRACE OF LIGHT,"Một bộ phim về sự khác biệt quan điểm giữa ba thế hệ ông bà cha mẹ con cháu. Ai cũng đúng ở góc nhìn của mình nhưng đứng trước hoài bão của tuổi trẻ, cuối cùng thì ai sẽ là người phải nghe theo người còn lại? Và nếu ước mơ của những đứa trẻ bị cho là viển vông, thì cơ hội nào và bao giờ tuổi trẻ mới được tự quyết định tương lai của mình?",2025-04-30,135,Tiếng Việt - Phụ đề Tiếng Anh, Lý Hải,"NSƯT Kim Phương, Long Đẹp Trai, NSƯT Tuyết Thu, Quách Ngọc Tuyên, Đoàn Thế Vinh, Hồng Thu, Yuno Bigboi, Anh Tú Wilson, Bảo Ngọc, Tín Nguyễn, Hồ Đông Quan, Cherry Hải My, Rio Hạo Nhiên,…",https://touchcinema.com/uploads/slider-app/lm8-1200x1800-poster.png,https://www.youtube.com/watch?v=hUlBTt3NyGI,https://touchcinema.com/storage/slider-app/lm8-2048x682.png,AGE_13_PLUS," Gia Đình, Tâm Lý"
Doraemon: Nobita Và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh,DORAEMON MOVIE 44: NOBITA NO ESEKAI MONOGATARI,"Thông qua món bảo bối mới của Doraemon, cả nhóm bạn bước thế giới trong một bức tranh nổi tiếng và bắt gặp cô bạn bí ẩn tên Claire. Với lời mời của Claire, cả nhóm cùng đến thăm vương quốc Artoria, nơi ẩn giấu một viên ngọc quý mang tên Artoria Blue đang ngủ yên. Trên hành trình tìm kiếm viên ngọc, nhóm bạn Doraemon phát hiện một truyền thuyết về sự hủy diệt của thế giới, mà truyền thuyết đó dường như đang sống dậy! Liệu cả nhóm có thể phá hủy lời nguyền này và bảo vệ cả thế giới?",2025-05-23,135,Lồng Tiếng Việt,Yukiyo Teramoto,"Wasabi Mizuta, Megumi Ôhara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki,...",https://touchcinema.com/uploads/slide-web/copy-of-250220-dr25-main-b1-localized-embbed-1-poster.jpg,https://www.youtube.com/watch?v=Bz0zCdNBj1Q,https://touchcinema.com/storage/slider-app/2048wx858h-30.jpg,AGE_13_PLUS,"Hoạt Hình, Phiêu Lưu"
Đêm Thánh: Đội Săn Quỷ,HOLY NIGHT: DEMON HUNTERS,"Tổ đội săn lùng và tiêu diệt các thế lực tôn thờ quỷ dữ với những sức mạnh siêu nhiên khác nhau gồm “tay đấm” Ma Dong-seok, Seohuyn (SNSD) và David Lee hứa hẹn mở ra cuộc chiến săn quỷ khốc liệt nhất dịp lễ 30/4 này!",2025-05-09,135,Tiếng Hàn - Phụ đề tiếng Việt,Lim Dae-hee," Don Lee, Seo Hyun, David Lee,...",https://touchcinema.com/uploads/slider-app/holy-night-main-poster-intl-001-poster.jpg,https://www.youtube.com/watch?v=Iwg6nQxN51I,https://touchcinema.com/storage/slider-app/2048x682-1746503337124.jpg,AGE_16_PLUS,"Hành Động, Kinh Dị, Thần Thoại"
Khủng Long Xanh Du Hành Thế Giới Truyện Tranh (Lồng Tiếng),DIPLODOCUS,"Khủng Nhong - một chú khủng long xanh với tính cách hiếu động, tò mò bị lạc mất cha mẹ và buộc phải lên đường tìm lại gia đình. Là một sinh vật sống trong cuốn truyện tranh do hoạ sĩ Tét vẽ - người đang muốn tẩy xóa những trang truyện tranh của mình sau lời phê bình từ nhà xuất bản, Khủng Nhong bắt đầu dịch chuyển từ cuốn truyện này sang cuốn truyện khác. Trên hành trình phiêu lưu qua những thế giới kỳ diệu, Khủng Nhong lần lượt gặp gỡ Phù Thuỷ Tinh Tú, Tiến Sĩ Tóc Búi và Giáo Sư Đầu Xù. Để cứu cha mẹ của Khủng Nhong, tất cả các nhân vật hoạt hình phải tin tưởng vào chính mình và thuyết phục hoạ sĩ Tét giữ lại “đứa con tinh thần” thay vì cố gắng sáng tác những gì ông không hề yêu thích.",2025-04-30,87,Lồng Tiếng Việt,Wojtek Wawszczyk,"Julian Wanderer, Tadeusz Baranowski, Rachel Butera,...",https://touchcinema.com/medias/hinhphim2025/1200wx1800h-27-poster.jpg,https://www.youtube.com/watch?v=LWOK4OP66BE,https://touchcinema.com/storage/slider-app/1440wx600h-19.jpg,AGE_UNRATED, Hoạt Hình
CONAN MOVIE 28,CONAN MOVIE 28,"Bộ phim Conan Movie 28 đã chính thức có lịch khởi chiếu tại Nhật Bản vào ngày 18 tháng 4 năm 2025. Hơn nữa, hình ảnh teaser do Gosho Aoyama vẽ cũng đã được phát hành! Với cảnh tượng được cho là vùng núi tuyết của tỉnh Nagano. (goemon-jp)",2026-06-27,135,Tiếng Nhật - Phụ đề Tiếng Việt, Katsuya Shigehara,"Minami Takayama, Wakana Yamazaki, Rikiya Koyama, Show Hayami, Yuji Takada,...",https://touchcinema.com/medias/hinhphim2025/469022458-1002511818571130-8286052885633190318-n-poster.jpg,https://www.youtube.com/watch?v=Iz1JBQPxC9s,https://touchcinema.com/medias/hinhphim2025/469022458-1002511818571130-8286052885633190318-n-poster.jpg,AGE_16_PLUS, Hoạt Hình
Thanh Gươm Diệt Quỷ: Vô Hạn Thành,DEMON SLAYER: INFINITY CASTLE,"Hãy cùng đón chờ màn combat cuối cùng giữa Tanjiro, các Trụ Cột và các Thượng Huyền vào năm 2025.",2025-12-05,135,Tiếng Nhật - Phụ đề Tiếng Việt, Haruo Sotozaki,"Hiro Shimono, Natsuki Hanae, Yoshitsugu Matsuoka, Akari Kitō,...",https://touchcinema.com/uploads/slider-app/demon-slayer-kimetsu-no-yaiba-the-movie-infinity-castle-2-1742546619891-poster.jpg,https://www.youtube.com/watch?v=MKoSM_7OVhw,https://touchcinema.com/uploads/slider-app/demon-slayer-kimetsu-no-yaiba-the-movie-infinity-castle-2-1742546619891-poster.jpg,AGE_13_PLUS, Hoạt Hình
Thế Giới Khủng Long: Tái Sinh,JURASSIC WORLD: REBIRTH,"Thế Giới Khủng Long: Tái Sinh lấy bối cảnh 5 năm sau phần phim Thế Giới Khủng Long: Lãnh Địa, môi trường Trái đất đã chứng tỏ phần lớn là không phù hợp với khủng long. Nhiều loài thằn lằn tiền sử được tái sinh đã chết. Những con chưa chết đã rút lui đến một vùng nhiệt đới hẻo lánh gần phòng thí nghiệm. Địa điểm đó chính là nơi bộ ba Scarlett Johansson, Mahershala Ali và Jonathan Bailey dấn thân vào một nhiệm vụ cực kỳ hiểm nguy.",2025-07-04,135,Tiếng Anh với phụ đề tiếng Việt,Gareth Edwards,"Scarlett Johansson, Mahershala Ali, Jonathan Bailey,…",https://touchcinema.com/medias/hinhphim2025/jwr-teaser-470x700-poster.jpg,https://www.youtube.com/watch?v=sVGj40XDI-g,https://touchcinema.com/uploads/slider-app/jw4-sjquetzart-1200x1800-poster.jpg,AGE_18_PLUS,"Hành Động, Phiêu Lưu, Thần Thoại"
Doraemon: Nobita Và Cuộc Phiêu Lưu Vào Thế Giới Trong Tranh (Lồng Tiếng),DORAEMON: NOBITA'S ART WORLD TALES,"Thông qua món bảo bối mới của Doraemon, cả nhóm bạn bước thế giới trong một bức tranh nổi tiếng và bắt gặp cô bạn bí ẩn tên Claire. Với lời mời của Claire, cả nhóm cùng đến thăm vương quốc Artoria, nơi ẩn giấu một viên ngọc quý mang tên Artoria Blue đang ngủ yên. Trên hành trình tìm kiếm viên ngọc, nhóm bạn Doraemon phát hiện một truyền thuyết về sự hủy diệt của thế giới, mà truyền thuyết đó dường như đang sống dậy! Liệu cả nhóm có thể phá hủy lời nguyền này và bảo vệ cả thế giới?",2025-05-23,105, Lồng Tiếng Việt,Yukiyo Teramoto,"Wasabi Mizuta, Megumi Ôhara, Yumi Kakazu, Subaru Kimura, Tomokazu Seki,...",https://touchcinema.com/uploads/slider-app/1200wx1800h-30-poster.jpg,https://www.youtube.com/watch?v=nDR_9NCMIYk,https://touchcinema.com/storage/slider-app/2048wx858h-30.jpg,AGE_UNRATED,"Hoạt Hình, Phiêu Lưu"